  # z-dipole density
# The last    3 ion types are fixed
# Average over        100 steps
# z (au)        A            Im1          Im2          Im3          C1           C2           P         
  0.277894283  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  0.833682850  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  1.389471417  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  1.945259984  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  2.501048551  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.056837118  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.612625684  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  4.168414251  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  4.724202818  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  5.279991385  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  5.835779952  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  6.391568519  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  6.947357086  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  7.503145652  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  8.058934219  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  8.614722786  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  9.170511353  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  9.726299920  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 10.282088487  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 10.837877053  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 11.393665620  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 11.949454187  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 12.505242754  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 13.061031321  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 13.616819888  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 14.172608455  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 14.728397021  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 15.284185588  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 15.839974155  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 16.395762722  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 16.951551289  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 17.507339856  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 18.063128422  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 18.618916989  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 19.174705556  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 19.730494123  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 20.286282690  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 20.842071257  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 21.397859824  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 21.953648390  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 22.509436957  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 23.065225524  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 23.621014091  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 24.176802658  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 24.732591225  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 25.288379791  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 25.844168358  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 26.399956925  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 26.955745492  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 27.511534059  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 28.067322626  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 28.623111193  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 29.178899759  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 29.734688326  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 30.290476893  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 30.846265460  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 31.402054027  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 31.957842594  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 32.513631160  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 33.069419727  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 33.625208294  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 34.180996861  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 34.736785428  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 35.292573995  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 35.848362562  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 36.404151128  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 36.959939695  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 37.515728262  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 38.071516829  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
