# Ion number density
# The last    3 ion types are fixed
# Average over     378000 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
 37.757295018  0.009401209  0.000141606  0.000204933  0.000178948  0.000089938  0.000555364  0.000524772  0.000436264  0.007269384  0.000000000  0.000000000
 38.645701959  0.008618675  0.000111609  0.000306635  0.000168850  0.000130325  0.000550484  0.000473018  0.000434436  0.006443318  0.000000000  0.000000000
 39.534108901  0.005441564  0.000176887  0.000204648  0.000204437  0.000159811  0.000532165  0.000389099  0.000470253  0.003304266  0.000000000  0.000000000
 40.422515842  0.007618055  0.000203297  0.000118481  0.000226313  0.000155026  0.000465304  0.000465952  0.000366430  0.005617251  0.000000000  0.000000000
 41.310922784  0.008313130  0.000220863  0.000150715  0.000231732  0.000096339  0.000384396  0.000548534  0.000402446  0.006278105  0.000000000  0.000000000
 42.199329726  0.007868463  0.000190653  0.000211247  0.000214896  0.000092581  0.000415176  0.000528088  0.000433357  0.005782465  0.000000000  0.000000000
 43.087736667  0.005900344  0.000112306  0.000181821  0.000195306  0.000120532  0.000472581  0.000403472  0.000449208  0.003965119  0.000000000  0.000000000
 43.976143609  0.006748787  0.000131165  0.000155758  0.000139401  0.000168207  0.000453430  0.000343782  0.000400647  0.004956398  0.000000000  0.000000000
 44.864550550  0.005828418  0.000090641  0.000152795  0.000107442  0.000206922  0.000423172  0.000343259  0.000373855  0.004130332  0.000000000  0.000000000
 45.752957492  0.008150463  0.000071391  0.000121863  0.000109955  0.000176298  0.000417257  0.000388388  0.000421992  0.006443318  0.000000000  0.000000000
 46.641364434  0.008076844  0.000104378  0.000085471  0.000092206  0.000182958  0.000413479  0.000464225  0.000456023  0.006278105  0.000000000  0.000000000
 47.529771375  0.005598728  0.000112123  0.000053077  0.000084728  0.000107467  0.000401737  0.000458663  0.000415815  0.003965119  0.000000000  0.000000000
 48.418178317  0.008847678  0.000096639  0.000089891  0.000075126  0.000069189  0.000429253  0.000431787  0.000386409  0.007269384  0.000000000  0.000000000
 49.306585258  0.007204942  0.000097143  0.000123118  0.000083309  0.000057824  0.000446027  0.000450893  0.000494590  0.005452038  0.000000000  0.000000000
 50.194992200  0.006447816  0.000081714  0.000106845  0.000101039  0.000065147  0.000504321  0.000539505  0.000753699  0.004295545  0.000000000  0.000000000
 51.083399141  0.009149327  0.000095762  0.000095739  0.000088406  0.000082813  0.000481127  0.000606177  0.000595133  0.007104171  0.000000000  0.000000000
