# Created by f3dm-l4s 0.1.0 using f3dmlib 1.8.24.3
# Force has been calculated on a mesh of 42184 nodes (28465 elements)
# using quadratic tetrahedral elements.
#
# Grid data:
# Center of the pox: 0.75 0.25 3 
# Box size: 1.500000 0.500000 2.000000 
# Number of points: 100 1 100 
#
# x  y  z  Fx  Fy  Fz
 0.000000000000000e+00      2.500000000000000e-01     2.242424242424244e+00      9.567376677233064e-06     -4.510828543423662e-04     5.200774575884979e-01
 0.000000000000000e+00      2.500000000000000e-01     2.262626262626264e+00     -1.009524224869149e-05     -3.446622997108906e-04     5.183722527620810e-01
 0.000000000000000e+00      2.500000000000000e-01     2.282828282828285e+00     -3.824710471313914e-05     -2.774414763843380e-04     5.165938637452924e-01
 0.000000000000000e+00      2.500000000000000e-01     2.303030303030305e+00     -6.639896717808812e-05     -2.102206530610329e-04     5.148154747284985e-01
 0.000000000000000e+00      2.500000000000000e-01     2.323232323232325e+00     -4.800157297590868e-05     -1.964818268550550e-04     5.132860788974892e-01
 0.000000000000000e+00      2.500000000000000e-01     2.343434343434346e+00     -1.369832871124799e-04     -1.772681181890778e-04     5.117278593636435e-01
 0.000000000000000e+00      2.500000000000000e-01     2.363636363636366e+00     -2.259650012441106e-04     -1.580544095243774e-04     5.101696398298041e-01
 0.000000000000000e+00      2.500000000000000e-01     2.383838383838386e+00      3.272230997463099e-04     -1.420105020569218e-04     5.086871829699173e-01
 0.000000000000000e+00      2.500000000000000e-01     2.404040404040407e+00      2.468386229763780e-04     -1.156330525097782e-04     5.074454445318622e-01
 0.000000000000000e+00      2.500000000000000e-01     2.424242424242427e+00      1.664541461975366e-04     -8.925560297096125e-05     5.062037060938144e-01
 0.000000000000000e+00      2.500000000000000e-01     2.444444444444447e+00      8.606966942759087e-05     -6.287815342381764e-05     5.049619676557593e-01
 0.000000000000000e+00      2.500000000000000e-01     2.464646464646468e+00      9.207111866665896e-06     -4.250507114868241e-05     5.037919343294661e-01
 0.000000000000000e+00      2.500000000000000e-01     2.484848484848488e+00     -6.018324055172275e-05     -6.133209444250665e-05     5.028247679556779e-01
 0.000000000000000e+00      2.500000000000000e-01     2.505050505050508e+00     -1.295735929725816e-04     -8.015911773076589e-05     5.018576015818912e-01
 0.000000000000000e+00      2.500000000000000e-01     2.525252525252529e+00     -2.180935105583481e-04     -4.277408593988952e-07     5.008133585509177e-01
 0.000000000000000e+00      2.500000000000000e-01     2.545454545454549e+00      4.467418795828237e-05     -1.929856616525449e-05     5.000697936665395e-01
 0.000000000000000e+00      2.500000000000000e-01     2.565656565656569e+00      5.162272621472841e-05     -5.954042005279492e-05     4.992987972860458e-01
 0.000000000000000e+00      2.500000000000000e-01     2.585858585858590e+00     -2.303193886804555e-05     -3.035308367976830e-05     4.985671061386317e-01
