# z-component of the Electric Field profile
# Average over         10 steps
# z (au)              total           A               Im1             Im2             Im3             C1              C2              P         
   33.4562393434   -0.0004340008   -0.0006262094    0.0000000000    0.0023390758   -0.0022774965   -0.0004293648    0.0000000000    0.0000000000
   34.1605812243   -0.0003927509    0.0000000000   -0.0041718653    0.0000000000    0.0000000000   -0.0001321223    0.0000000000    0.0000000000
   34.8649231052   -0.0002720883   -0.0015161495    0.0000000000    0.0025147055    0.0000000000   -0.0003319310    0.0000000000    0.0000000000
   35.5692649861   -0.0005515527    0.0011774709    0.0020693598   -0.0042216639   -0.0000314898   -0.0006286293    0.0000000000    0.0000000000
   36.2736068670   -0.0002568116    0.0042019816   -0.0007798852    0.0000000000    0.0000000000   -0.0003645713    0.0000000000    0.0000000000
   36.9779487480   -0.0007145885   -0.0011913489   -0.0000511152   -0.0024303608    0.0000000000   -0.0005767939    0.0000000000    0.0000000000
   37.6822906289   -0.0003894111    0.0000000000    0.0052946813    0.0000000000    0.0000000000   -0.0005351571    0.0000000000    0.0000000000
   38.3866325098   -0.0004047569    0.0011208407    0.0000854272   -0.0018097846    0.0019538954   -0.0005766298    0.0000000000    0.0000000000
   39.0909743907   -0.0004183459    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0004183459    0.0000000000    0.0000000000
   39.7953162716   -0.0001272411    0.0000000000    0.0000000000    0.0017422250    0.0000000000   -0.0001697290    0.0000000000    0.0000000000
   40.4996581525    0.0001306172    0.0009311696   -0.0033678877   -0.0026800089    0.0000000000    0.0003091014    0.0000000000    0.0000000000
   41.2040000334   -0.0004316839    0.0009319260    0.0005640244   -0.0027142186    0.0000000000   -0.0004250521    0.0000000000    0.0000000000
   41.9083419143   -0.0003330089   -0.0017116048    0.0000000000    0.0000000000   -0.0008951452   -0.0002723610    0.0000000000    0.0000000000
   42.6126837953   -0.0006883016    0.0011845721    0.0000000000   -0.0046409153    0.0000000000   -0.0005055030    0.0000000000    0.0000000000
   43.3170256762    0.0000073776   -0.0008854569   -0.0000721281    0.0000000000   -0.0043548478    0.0001248906    0.0000000000    0.0000000000
   44.0213675571   -0.0002760458    0.0001104176    0.0000000000    0.0074955381    0.0000000000   -0.0003941982    0.0000000000    0.0000000000
   44.7257094380   -0.0002378088    0.0000000000   -0.0013424207    0.0030687904   -0.0026836812   -0.0002242725    0.0000000000    0.0000000000
   45.4300513189    0.0003661005    0.0000000000    0.0000000000   -0.0009630818    0.0000000000    0.0003926841    0.0000000000    0.0000000000
   46.1343931998   -0.0002672797    0.0004884597    0.0000000000    0.0000000000    0.0024729861   -0.0004823236    0.0000000000    0.0000000000
   46.8387350807    0.0003810823    0.0000000000    0.0000000000    0.0000000000    0.0037631450    0.0002719835    0.0000000000    0.0000000000
   47.5430769617    0.0002520309    0.0000000000    0.0000000000    0.0000000000   -0.0030769036    0.0003594159    0.0000000000    0.0000000000
   48.2474188426   -0.0002824533    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0002824533    0.0000000000    0.0000000000
   48.9517607235    0.0008700596    0.0020449531    0.0012275202    0.0035931490    0.0000387948    0.0004985472    0.0000000000    0.0000000000
   49.6561026044    0.0004124584    0.0000000000    0.0037507266   -0.0002817696    0.0032935517   -0.0000501673    0.0000000000    0.0000000000
   50.3604444853    0.0002019775    0.0000000000    0.0000000000    0.0000000000   -0.0013314735    0.0002871692    0.0000000000    0.0000000000
   51.0647863662    0.0000834287    0.0000000000    0.0000000000    0.0000000000   -0.0014349614    0.0001376569    0.0000000000    0.0000000000
   51.7691282471   -0.0000453469   -0.0009451651    0.0000000000    0.0000000000    0.0010145565   -0.0000496735    0.0000000000    0.0000000000
   52.4734701280    0.0000206863    0.0003205635    0.0006937950    0.0000000000    0.0000000000   -0.0000255708    0.0000000000    0.0000000000
   53.1778120090   -0.0001411232   -0.0003589956   -0.0004398584   -0.0019011991    0.0000000000   -0.0000676818    0.0000000000    0.0000000000
   53.8821538899   -0.0002666233   -0.0005087432    0.0000000000    0.0000000000   -0.0009609037   -0.0001987248    0.0000000000    0.0000000000
   54.5864957708    0.0003259218   -0.0007549078   -0.0020836992    0.0000000000    0.0068635969    0.0002701203    0.0000000000    0.0000000000
   55.2908376517   -0.0000999328    0.0000000000    0.0000000000    0.0013281209    0.0000000000   -0.0002586054    0.0000000000    0.0000000000
   55.9951795326    0.0002610344    0.0000000000    0.0000000000    0.0000000000    0.0036254054    0.0000728178    0.0000000000    0.0000000000
   56.6995214135    0.0003365127    0.0024915408    0.0000000000    0.0000000000    0.0048836071    0.0001916607    0.0000000000    0.0000000000
   57.4038632944    0.0002939291    0.0041270473    0.0000000000   -0.0036784193    0.0037541938    0.0003156396    0.0000000000    0.0000000000
   58.1082051754    0.0003580671    0.0021236437    0.0024809007    0.0000000000    0.0000000000    0.0001224843    0.0000000000    0.0000000000
   58.8125470563   -0.0000529903   -0.0000080770   -0.0008593108   -0.0022275010    0.0000000000    0.0001661485    0.0000000000    0.0000000000
   59.5168889372   -0.0000974121    0.0000000000   -0.0021265140    0.0004342128    0.0000000000   -0.0000462893    0.0000000000    0.0000000000
   60.2212308181    0.0011955223    0.0016379268    0.0018385323    0.0051113759    0.0041827531    0.0008643757    0.0000000000    0.0000000000
   60.9255726990   -0.0001756698    0.0000000000    0.0000000000    0.0096826079   -0.0028273963   -0.0004241715    0.0000000000    0.0000000000
   61.6299145799    0.0003759486   -0.0011589520   -0.0033094489    0.0030909671    0.0003617416    0.0004739447    0.0000000000    0.0000000000
   62.3342564608    0.0000366941   -0.0069461132    0.0016200084   -0.0014843109    0.0028606982    0.0001732439    0.0000000000    0.0000000000
   63.0385983417    0.0003106642    0.0000000000    0.0000000000    0.0013452489   -0.0050345812    0.0005066033    0.0000000000    0.0000000000
   63.7429402227    0.0002631798   -0.0018322353    0.0000000000    0.0000000000    0.0040809143    0.0003705064    0.0000000000    0.0000000000
   64.4472821036    0.0002247298   -0.0002711480    0.0007582616   -0.0033722399    0.0000000000    0.0003461664    0.0000000000    0.0000000000
   65.1516239845    0.0006244511   -0.0015929239    0.0067720462    0.0023395780    0.0000000000    0.0003636068    0.0000000000    0.0000000000
   65.8559658654    0.0002676288    0.0019130215    0.0000000000   -0.0032347640   -0.0017208980    0.0003760017    0.0000000000    0.0000000000
   66.5603077463    0.0003879693    0.0000000000   -0.0019710645    0.0004248473    0.0000000000    0.0005410431    0.0000000000    0.0000000000
   67.2646496272    0.0007404629    0.0012411766    0.0022564774    0.0036373196    0.0009255805    0.0005242191    0.0000000000    0.0000000000
   67.9689915081    0.0009404917   -0.0012581108    0.0000000000    0.0007846457    0.0000000000    0.0010585276    0.0000000000    0.0000000000
   68.6733333891    0.0002743000   -0.0011410724   -0.0028792911    0.0006068922    0.0012196220    0.0003673332    0.0000000000    0.0000000000
   69.3776752700    0.0004427475    0.0000000000   -0.0048915196    0.0049497265    0.0000000000    0.0006709532    0.0000000000    0.0000000000
   70.0820171509    0.0005680432    0.0015204906   -0.0000940895    0.0023935339   -0.0022728788    0.0004635480    0.0000000000    0.0000000000
   70.7863590318   -0.0012948688    0.0000000000    0.0000000000   -0.0018924656    0.0017828957   -0.0013775411    0.0000000000    0.0000000000
   71.4907009127   -0.0007358771    0.0000000000    0.0012333830    0.0000000000    0.0000000000   -0.0008873587    0.0000000000    0.0000000000
   72.1950427936    0.0001633753    0.0000000000    0.0000000000    0.0000000000    0.0018909465    0.0001166842    0.0000000000    0.0000000000
   72.8993846745    0.0007277421    0.0025888200    0.0000000000    0.0000000000    0.0022002875    0.0005807467    0.0000000000    0.0000000000
   73.6037265554    0.0000365295    0.0000000000    0.0012201489    0.0000000000    0.0000000000   -0.0000057427    0.0000000000    0.0000000000
