# Madelung potential profile
# The last     3 ion types are fixed
# Average over         10 steps
# z (au)              total           A               Im1             Im2             Im3             C1              C2              P         
   32.7518974625   -0.0044409103    0.1252973755    0.0000000000    0.0000000000   -0.0809349165   -0.0000000114    0.0000000000    0.0000000000
   33.4562393434   -0.0044146400    0.1246103655    0.0000000000   -0.1065711101   -0.0952570425    0.0000000266    0.0000000000    0.0000000000
   34.1605812243   -0.0075559093    0.0000000000   -0.1171167147    0.0000000000    0.0000000000    0.0000000083    0.0000000000    0.0000000000
   34.8649231052    0.0011675000    0.1313291297    0.0000000000   -0.1269749343    0.0000000000    0.0000000024    0.0000000000    0.0000000000
   35.5692649861   -0.0014597878    0.1131218549   -0.0986695183   -0.1027680356   -0.0875775987    0.0000000149    0.0000000000    0.0000000000
   36.2736068670   -0.0008595565    0.1097726542   -0.1163053783    0.0000000000    0.0000000000    0.0000000489    0.0000000000    0.0000000000
   36.9779487480   -0.0065674245    0.1325821437   -0.1079897944   -0.0979524187    0.0000000000    0.0000000139    0.0000000000    0.0000000000
   37.6822906289   -0.0029705761    0.0000000000   -0.1188232245    0.0000000000    0.0000000000    0.0000000046    0.0000000000    0.0000000000
   38.3866325098   -0.0090389622    0.1157002804   -0.1222462512   -0.1381721699   -0.0903426701    0.0000000271    0.0000000000    0.0000000000
   39.0909743907    0.0000000155    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000155    0.0000000000    0.0000000000
   39.7953162716   -0.0021628592    0.0000000000    0.0000000000   -0.0973284543    0.0000000000   -0.0000000048    0.0000000000    0.0000000000
   40.4996581525   -0.0023006638    0.1185907731   -0.1034555385   -0.1051570684    0.0000000000    0.0000000033    0.0000000000    0.0000000000
   41.2040000334   -0.0018170473    0.1385574178   -0.1216578060   -0.0976041801    0.0000000000   -0.0000000028    0.0000000000    0.0000000000
   41.9083419143    0.0013392763    0.1278930509    0.0000000000    0.0000000000   -0.0823576024   -0.0000000017    0.0000000000    0.0000000000
   42.6126837953   -0.0033690604    0.1195092559    0.0000000000   -0.1203976048    0.0000000000   -0.0000000067    0.0000000000    0.0000000000
   43.3170256762   -0.0048034387    0.1325376666   -0.1182641643    0.0000000000   -0.0891175162   -0.0000000049    0.0000000000    0.0000000000
   44.0213675571    0.0010897781    0.1082152149    0.0000000000   -0.1084587216    0.0000000000   -0.0000000263    0.0000000000    0.0000000000
   44.7257094380   -0.0113982297    0.0000000000   -0.1015518013   -0.1084744124   -0.0836806373   -0.0000000159    0.0000000000    0.0000000000
   45.4300513189   -0.0021882104    0.0000000000    0.0000000000   -0.1115972789    0.0000000000   -0.0000000290    0.0000000000    0.0000000000
   46.1343931998   -0.0031651149    0.0994983337    0.0000000000    0.0000000000   -0.1003905662   -0.0000000303    0.0000000000    0.0000000000
   46.8387350807   -0.0025082811    0.0000000000    0.0000000000    0.0000000000   -0.0802644153   -0.0000000187    0.0000000000    0.0000000000
   47.5430769617   -0.0031573489    0.0000000000    0.0000000000    0.0000000000   -0.1010356720    0.0000000164    0.0000000000    0.0000000000
   48.2474188426    0.0000000029    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000000029    0.0000000000    0.0000000000
   48.9517607235   -0.0116072452    0.1136165196   -0.1134755744   -0.1105895076   -0.0825932275   -0.0000000098    0.0000000000    0.0000000000
   49.6561026044   -0.0148273208    0.0000000000   -0.1079837852   -0.1091885941   -0.0777036091   -0.0000000112    0.0000000000    0.0000000000
   50.3604444853   -0.0039248436    0.0000000000    0.0000000000    0.0000000000   -0.0745722334    0.0000000114    0.0000000000    0.0000000000
   51.0647863662   -0.0037120912    0.0000000000    0.0000000000    0.0000000000   -0.1076510647    0.0000000150    0.0000000000    0.0000000000
   51.7691282471    0.0009784723    0.1141954838    0.0000000000    0.0000000000   -0.0760359309    0.0000000235    0.0000000000    0.0000000000
   52.4734701280    0.0060327561    0.1193333232   -0.1287559058    0.0000000000    0.0000000000    0.0000000197    0.0000000000    0.0000000000
   53.1778120090   -0.0033471857    0.1037269838   -0.1056590490   -0.1118718065    0.0000000000   -0.0000000143    0.0000000000    0.0000000000
   53.8821538899   -0.0076095220    0.1059839281    0.0000000000    0.0000000000   -0.0896835598    0.0000000082    0.0000000000    0.0000000000
   54.5864957708    0.0005044229    0.1084825028   -0.0990451874    0.0000000000   -0.0874227604    0.0000000127    0.0000000000    0.0000000000
   55.2908376517   -0.0104650051    0.0000000000    0.0000000000   -0.1046501301    0.0000000000    0.0000000088    0.0000000000    0.0000000000
   55.9951795326   -0.0053109522    0.0000000000    0.0000000000    0.0000000000   -0.1002452051    0.0000000549    0.0000000000    0.0000000000
   56.6995214135    0.0022664353    0.1271402257    0.0000000000    0.0000000000   -0.0937043717   -0.0000000046    0.0000000000    0.0000000000
   57.4038632944   -0.0056823806    0.1208840579    0.0000000000   -0.1000269891   -0.1140301951   -0.0000000275    0.0000000000    0.0000000000
   58.1082051754    0.0042261715    0.1168558660   -0.1196063805    0.0000000000    0.0000000000    0.0000000533    0.0000000000    0.0000000000
   58.8125470563   -0.0117472243    0.1050087929   -0.1207518784   -0.1197086503    0.0000000000    0.0000000403    0.0000000000    0.0000000000
   59.5168889372   -0.0108568941    0.0000000000   -0.1066699817   -0.1157752162    0.0000000000    0.0000000429    0.0000000000    0.0000000000
   60.2212308181   -0.0114637400    0.1356388834   -0.1109653535   -0.1254378777   -0.0892075960    0.0000000118    0.0000000000    0.0000000000
   60.9255726990   -0.0075842188    0.0000000000    0.0000000000   -0.1125069113   -0.1226057467    0.0000000646    0.0000000000    0.0000000000
   61.6299145799   -0.0131924542    0.0898277037   -0.1308038986   -0.1224106732   -0.0862574804    0.0000000298    0.0000000000    0.0000000000
   62.3342564608   -0.0064015968    0.1326527636   -0.1255971017   -0.1306048594   -0.0941072740    0.0000000727    0.0000000000    0.0000000000
   63.0385983417   -0.0099901781    0.0000000000    0.0000000000   -0.1370674513   -0.1026972943    0.0000000214    0.0000000000    0.0000000000
   63.7429402227    0.0091419276    0.1101886074    0.0000000000    0.0000000000   -0.0837345228    0.0000000324    0.0000000000    0.0000000000
   64.4472821036   -0.0039845075    0.1270177397   -0.1283097696   -0.1328907907    0.0000000000    0.0000000550    0.0000000000    0.0000000000
   65.1516239845   -0.0075001985    0.1198296176   -0.1188252031   -0.1415151512    0.0000000000    0.0000000124    0.0000000000    0.0000000000
   65.8559658654   -0.0005479350    0.1190553973    0.0000000000   -0.1058353926   -0.1173965504    0.0000000287    0.0000000000    0.0000000000
   66.5603077463   -0.0155174782    0.0000000000   -0.1141562456   -0.1300970125    0.0000000000    0.0000000071    0.0000000000    0.0000000000
   67.2646496272   -0.0101319526    0.1097266888   -0.1078979701   -0.1492403818   -0.1015815363    0.0000000645    0.0000000000    0.0000000000
   67.9689915081    0.0033783774    0.1081688153    0.0000000000   -0.1177509635    0.0000000000    0.0000000212    0.0000000000    0.0000000000
   68.6733333891   -0.0042724548    0.0931811009   -0.1072786153   -0.1181723208   -0.0946739279    0.0000000122    0.0000000000    0.0000000000
   69.3776752700   -0.0112639690    0.0000000000   -0.1169353479   -0.1040483319    0.0000000000   -0.0000000015    0.0000000000    0.0000000000
   70.0820171509   -0.0119751247    0.1040600811   -0.1013563716   -0.1076231906   -0.0869880996   -0.0000000100    0.0000000000    0.0000000000
   70.7863590318   -0.0063379458    0.0000000000    0.0000000000   -0.1030687232   -0.0997471584    0.0000000538    0.0000000000    0.0000000000
   71.4907009127   -0.0082539414    0.0000000000   -0.1155561231    0.0000000000    0.0000000000    0.0000000725    0.0000000000    0.0000000000
