{ energy -4029.2805275506325 } { kinetic 35426.75427446954 } { 1  1 nonbonded 60.18578982569508 } { 1  2 nonbonded 3634.1044672491366 } { 1  3 nonbonded 220.60276428058307 } { 2  2 nonbonded 42.47705609672931 } { 2  3 nonbonded 291.3387355764342 } { coulomb -43704.74361504875 -24048.013695833655 -19656.729919215093 }
{ energy -5636.864049126376 } { kinetic 40505.12486682996 } { 1  1 nonbonded 286.5567395339376 } { 1  2 nonbonded 3328.3877637005394 } { 1  3 nonbonded 357.2247271123157 } { 2  2 nonbonded 273.41672386275553 } { 2  3 nonbonded 306.7665793467447 } { coulomb -50694.341449512634 -28205.696579410724 -22488.644870101907 }
{ energy 81475821.59542699 } { kinetic 81467152.0364078 } { 1  1 nonbonded 212.4105724843879 } { 1  2 nonbonded 11328.211203901845 } { 1  3 nonbonded 185.55796080302707 } { 2  2 nonbonded 45762.28447333351 } { 2  3 nonbonded 186.88287344536457 } { coulomb -49005.78806478348 -26938.4986810274 -22067.28938375608 }
