#EMIM BF4 298K 0V
#   0ACN=10442 parts      10ACN = 11412 parts   20ACN = 12673 parts   40ACN = 12490 parts 
8   947.26403498649597    901.93187403678894    1082.9091000556946    1057.7862129211426   
12  640.90203309059143    621.6731219291687     759.14311790466309    733.3043258190155
16  480.99240183830261    478.39934587478638    570.27364015579224    553.196702003479
20  385.59125399589539    380.42492389678955    459.53391599655151    444.21320700645447
24  323.79160594940186    316.70165491104126    383.08718585968018    369.08666086196899





