#   0ACN                10ACN                20ACN                40ACN 
4     890.34654498100281  823.92824101448059  966.20972609519958  946.05214095115662 
12    314.77211618423462  302.64782881736755  355.18916416168213  343.74857211112976
20    193.40619802474976  182.2104651927948   213.87014985084534  209.44401001930237
28    138.73168706893921  130.80562090873718  153.46876692771912  149.87860608100891
36    108.31110215187073  102.88652205467224  122.69062495231628  116.72112083435059 
44    89.285479068756104  85.023443937301636  101.26421594619751  96.175264120101929
1200  5.886               5.47                5.95                6.211












