  # z-dipole density
# The last    3 ion types are fixed
# Average over        100 steps
# z (au)        A            Im1          Im2          Im3          C1           C2           P         
  0.281515320  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  0.844545959  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  1.407576598  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  1.970607238  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  2.533637877  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.096668517  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  3.659699156  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  4.222729795  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  4.785760435  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  5.348791074  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  5.911821713  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  6.474852353  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  7.037882992  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  7.600913631  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  8.163944271  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  8.726974910  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  9.290005550  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
  9.853036189  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 10.416066828  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 10.979097468  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 11.542128107  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 12.105158746  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 12.668189386  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 13.231220025  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 13.794250664  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 14.357281304  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 14.920311943  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 15.483342583  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 16.046373222  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 16.609403861  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 17.172434501  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 17.735465140  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 18.298495779  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 18.861526419  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 19.424557058  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
 19.987587697  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000  0.000000000
