# z-component of the Electric Field profile
# Average over        100 steps
# z (au)              total           A               Im1             Im2             Im3             C1              C2              P         
   27.3069860092    0.0000593481    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000593481    0.0000000000    0.0000000000
   27.8700166485   -0.0000484677    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000484677    0.0000000000    0.0000000000
   28.4330472879    0.0000092174    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000092174    0.0000000000    0.0000000000
   28.9960779272   -0.0000578926    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000578926    0.0000000000    0.0000000000
   29.5591085666   -0.0000135567    0.0000000000    0.0000000000    0.0000000000    0.0000000000   -0.0000135567    0.0000000000    0.0000000000
   30.1221392060    0.0000013418    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000013418    0.0000000000    0.0000000000
   30.6851698453    0.0000392793    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000392793    0.0000000000    0.0000000000
   31.2482004847    0.0000485596    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000485596    0.0000000000    0.0000000000
   31.8112311241    0.0000671738    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000671738    0.0000000000    0.0000000000
   32.3742617634    0.0000084452    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000084452    0.0000000000    0.0000000000
   32.9372924028    0.0000560246    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000560246    0.0000000000    0.0000000000
   33.5003230422    0.0000488861    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000488861    0.0000000000    0.0000000000
   34.0633536815    0.0000163414    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000163414    0.0000000000    0.0000000000
   34.6263843209    0.0000315782    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000315782    0.0000000000    0.0000000000
   35.1894149603    0.0000994825    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000994825    0.0000000000    0.0000000000
   35.7524455996    0.0000651053    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000651053    0.0000000000    0.0000000000
   36.3154762390    0.0000645111    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0000645111    0.0000000000    0.0000000000
   36.8785068783    0.0001686077    0.0000000000    0.0000000000    0.0000000000    0.0000000000    0.0001686077    0.0000000000    0.0000000000
