# Ion number density
# The last    3 ion types are fixed
# Average over     744960 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
 37.757295018  0.009348586  0.000117202  0.000229821  0.000155311  0.000059633  0.000581550  0.000510222  0.000425463  0.007269384  0.000000000  0.000000000
 38.645701959  0.008590874  0.000074361  0.000233474  0.000179716  0.000092184  0.000587564  0.000513847  0.000466410  0.006443318  0.000000000  0.000000000
 39.534108901  0.005362808  0.000101110  0.000157704  0.000240579  0.000158184  0.000486944  0.000416361  0.000497661  0.003304266  0.000000000  0.000000000
 40.422515842  0.007623488  0.000172692  0.000127873  0.000245727  0.000202278  0.000395610  0.000447498  0.000414559  0.005617251  0.000000000  0.000000000
 41.310922784  0.008401092  0.000282152  0.000150249  0.000192454  0.000148680  0.000366645  0.000548453  0.000434355  0.006278105  0.000000000  0.000000000
 42.199329726  0.007791785  0.000197300  0.000156405  0.000149420  0.000131393  0.000435436  0.000476078  0.000463289  0.005782465  0.000000000  0.000000000
 43.087736667  0.005836268  0.000160262  0.000142734  0.000144490  0.000122611  0.000510277  0.000415019  0.000375756  0.003965119  0.000000000  0.000000000
 43.976143609  0.006677578  0.000179673  0.000106012  0.000124487  0.000157359  0.000428896  0.000415152  0.000309602  0.004956398  0.000000000  0.000000000
 44.864550550  0.005875312  0.000139995  0.000109463  0.000112737  0.000214382  0.000459044  0.000351335  0.000358024  0.004130332  0.000000000  0.000000000
 45.752957492  0.008215169  0.000064941  0.000139187  0.000100765  0.000206616  0.000481354  0.000326344  0.000452645  0.006443318  0.000000000  0.000000000
 46.641364434  0.008052165  0.000077789  0.000186869  0.000065225  0.000198378  0.000415180  0.000395435  0.000435184  0.006278105  0.000000000  0.000000000
 47.529771375  0.005535272  0.000096804  0.000067268  0.000042828  0.000144193  0.000390706  0.000462463  0.000365891  0.003965119  0.000000000  0.000000000
 48.418178317  0.008874972  0.000076340  0.000078526  0.000052358  0.000107632  0.000417405  0.000505950  0.000367378  0.007269384  0.000000000  0.000000000
 49.306585258  0.007265131  0.000048887  0.000125836  0.000115625  0.000085800  0.000491708  0.000488556  0.000456682  0.005452038  0.000000000  0.000000000
 50.194992200  0.006529214  0.000045653  0.000100593  0.000205035  0.000059612  0.000546466  0.000532785  0.000743525  0.004295545  0.000000000  0.000000000
 51.083399141  0.009146562  0.000055823  0.000091641  0.000099505  0.000054184  0.000500113  0.000601640  0.000639485  0.007104171  0.000000000  0.000000000
 51.971806083  0.007306814  0.000050730  0.000070498  0.000061294  0.000075097  0.000452327  0.000604617  0.000540213  0.005452038  0.000000000  0.000000000
 52.860213025  0.008266012  0.000067387  0.000053438  0.000052262  0.000078973  0.000613795  0.000460492  0.000496347  0.006443318  0.000000000  0.000000000
 53.748619966  0.007302570  0.000071654  0.000054706  0.000056249  0.000074330  0.000478913  0.000446559  0.000502907  0.005617251  0.000000000  0.000000000
 54.637026908  0.011419362  0.000059680  0.000055318  0.000064553  0.000053350  0.000488082  0.000460854  0.000489940  0.009747583  0.000000000  0.000000000
 55.525433849  0.008959372  0.000065337  0.000059250  0.000067480  0.000046876  0.000477696  0.000484728  0.000488621  0.007269384  0.000000000  0.000000000
 56.413840791  0.010627027  0.000086065  0.000076377  0.000059997  0.000059741  0.000489015  0.000490214  0.000444101  0.008921517  0.000000000  0.000000000
 57.302247733  0.010629618  0.000268781  0.000077297  0.000057011  0.000063997  0.000507003  0.000483458  0.000415768  0.008756304  0.000000000  0.000000000
 58.190654674  0.009429978  0.000104985  0.000067297  0.000057193  0.000072403  0.000544892  0.000517876  0.000465521  0.007599811  0.000000000  0.000000000
 59.079061616  0.009534339  0.000077220  0.000064063  0.000058313  0.000078579  0.000563379  0.000536671  0.000556303  0.007599811  0.000000000  0.000000000
 59.967468557  0.008064625  0.000066485  0.000068042  0.000060086  0.000094808  0.000525961  0.000549305  0.000587047  0.006112891  0.000000000  0.000000000
 60.855875499  0.008633304  0.000056830  0.000073538  0.000060281  0.000105394  0.000525363  0.000597589  0.000605778  0.006608531  0.000000000  0.000000000
 61.744282441  0.008505588  0.000061684  0.000071449  0.000061780  0.000104060  0.000562365  0.000646110  0.000720034  0.006278105  0.000000000  0.000000000
 62.632689382  0.008985113  0.000073656  0.000055327  0.000069946  0.000074795  0.000613405  0.000609980  0.000714260  0.006773744  0.000000000  0.000000000
 63.521096324  0.010953430  0.000059714  0.000057822  0.000071060  0.000052494  0.000604687  0.000607631  0.000578504  0.008921517  0.000000000  0.000000000
 64.409503265  0.006810686  0.000048949  0.000076467  0.000068086  0.000045856  0.000578837  0.000554680  0.000481412  0.004956398  0.000000000  0.000000000
 65.297910207  0.008686427  0.000049416  0.000085753  0.000079646  0.000046213  0.000539747  0.000497522  0.000449174  0.006938958  0.000000000  0.000000000
 66.186317149  0.007705067  0.000060511  0.000067556  0.000084266  0.000047786  0.000535485  0.000520337  0.000441448  0.005947678  0.000000000  0.000000000
 67.074724090  0.009301384  0.000059065  0.000054092  0.000073194  0.000050878  0.000585319  0.000533855  0.000510384  0.007434598  0.000000000  0.000000000
 67.963131032  0.010542722  0.000051632  0.000051181  0.000060073  0.000045108  0.000625489  0.000543277  0.000574871  0.008591090  0.000000000  0.000000000
 68.851537973  0.007733306  0.000042638  0.000052638  0.000053425  0.000037282  0.000694772  0.000627205  0.000608097  0.005617251  0.000000000  0.000000000
 69.739944915  0.008976004  0.000042282  0.000055983  0.000052922  0.000040616  0.000681888  0.000784525  0.000709257  0.006608531  0.000000000  0.000000000
 70.628351856  0.007948047  0.000049417  0.000053422  0.000210827  0.000043757  0.000630727  0.000691109  0.000816751  0.005452038  0.000000000  0.000000000
 71.516758798  0.011575847  0.000051627  0.000058378  0.000048447  0.000052285  0.000647033  0.000686756  0.000779379  0.009251944  0.000000000  0.000000000
 72.405165740  0.005918856  0.000044703  0.000051707  0.000048365  0.000063786  0.000658761  0.000714364  0.000702479  0.003634692  0.000000000  0.000000000
 73.293572681  0.009002596  0.000056203  0.000041113  0.000044646  0.000071055  0.000687272  0.000708315  0.000620247  0.006773744  0.000000000  0.000000000
 74.181979623  0.009487421  0.000058783  0.000213646  0.000033749  0.000077606  0.000711919  0.000719995  0.000567553  0.007104171  0.000000000  0.000000000
 75.070386564  0.010004475  0.000041380  0.000049878  0.000029415  0.000061489  0.000660461  0.000586576  0.000645038  0.007930237  0.000000000  0.000000000
